"Number of MRMR features","Outcome","Number of training subjects","Lasso","Ridge","Elastic net","Random forest","KDPI"
"36","DGF","112",0.835983140395746,0.86062643020595,0.835054347826087,0.942119565217391,0.537542910984289
"37","DGF","112",0.834782608695652,0.861240005387809,0.835517518302704,0.940217391304348,0.529927480145376
"38","DGF","112",0.872795251310515,0.837228260869565,0.834782608695652,0.941576086956522,0.539362523351909
"39","DGF","112",0.867510750119446,0.842747447299078,0.822974967579005,0.936548913043478,0.536814711028724
"40","DGF","112",0.881537005373718,0.843384070910216,0.84375116447177,0.936548913043478,0.535320935139391
"41","DGF","112",0.859245667114896,0.832826934485973,0.826494565217391,0.936277173913044,0.5386815260221
"42","DGF","112",0.862105339866636,0.8640625,0.831521739130435,0.936413043478261,0.523628566576087
"43","DGF","112",0.846195652173913,0.880810844577711,0.814339464882943,0.933288043478261,0.546233467699994
"44","DGF","112",0.869565217391304,0.869411506368028,0.847554347826087,0.937907608695652,0.539830371784796
"45","DGF","112",0.874230581338544,0.871135951910408,0.843118062800063,0.93804347826087,0.531139370463905
"46","DGF","112",0.864402173913043,0.883099840278809,0.857705389848247,0.942119565217391,0.533994975668653
"47","DGF","112",0.870541117784907,0.854024201459381,0.84769740129935,0.943885869565217,0.53305039579669
"48","DGF","112",0.871195652173913,0.865973454599231,0.852989130434783,0.937092391304348,0.528013775124633
"49","DGF","112",0.861141304347826,0.864945652173913,0.817934782608696,0.932201086956522,0.529236584671367
"50","DGF","112",0.866280743066457,0.873069900745722,0.84375,0.936548913043478,0.529584808584281
"51","DGF","112",0.872554347826087,0.880446008956473,0.840760869565217,0.940353260869565,0.544892911177849
"52","DGF","112",0.865217391304348,0.877581054833408,0.846739130434783,0.935869565217391,0.532164001295417
"53","DGF","112",0.855943264163373,0.87354619291046,0.834782608695652,0.928396739130435,0.544170467293907
"54","DGF","112",0.861419467571179,0.878651520149967,0.822252320660706,0.933967391304348,0.535820965921534
"55","DGF","112",0.865096239164562,0.868478260869565,0.828804347826087,0.942527173913043,0.530614902837484
"56","DGF","112",0.860422842555995,0.86973971939034,0.821467391304348,0.935190217391304,0.524552018345666
"57","DGF","112",0.859680106088054,0.849739571199541,0.823239285992067,0.936684782608696,0.5260586905129
"58","DGF","112",0.845137761127925,0.875631999341238,0.822554347826087,0.941711956521739,0.535922146318482
"59","DGF","112",0.83871316479474,0.868912369559688,0.805978260869565,0.938315217391304,0.503310849880662
"60","DGF","112",0.833610733695652,0.851196163944267,0.808695652173913,0.932201086956522,0.529290079599419
"61","DGF","112",0.836325208607817,0.853006137122005,0.817618454704536,0.938858695652174,0.527350565758601
"62","DGF","112",0.834782608695652,0.847022095912994,0.820923913043478,0.93695652173913,0.519825071949841
"63","DGF","112",0.824456521739131,0.86249326961906,0.799456521739131,0.93179347826087,0.538015042955199
"64","DGF","112",0.842663043478261,0.865991371464974,0.810652798600699,0.936141304347826,0.53679257777852
"65","DGF","112",0.861413043478261,0.872554347826087,0.816746325418851,0.935869565217391,0.535985496683145
"66","DGF","112",0.850339097217096,0.856387241985068,0.796795262173667,0.933559782608696,0.520868071788479
